id,idade_ingresso,ano_ingresso,tempo_entre_conclusao_em_ingresso,carga_horaria,forma_ingresso,curso,ano_conclusao,situacao_matricula
4836,19,2021,2,3310,Vestibular,Física,0,Evadido
4839,19,2022,1,4073,SISU,Letras,0,Matriculado
4841,22,2020,4,4073,SISU,Letras,0,Evadido
4842,22,2018,6,3660,SISU,Engenharia de Produção,2022,Formado
4843,18,2019,1,2850,SISU,Física,0,Evadido
4845,19,2022,1,4073,SISU,Letras,0,Matriculado
4846,29,2020,11,4073,Vestibular,Letras,0,Matriculado
4847,30,2021,12,4073,Vestibular,Letras,0,Matriculado
4854,19,2021,2,3660,SISU,Engenharia de Produção,0,Matriculado
4855,19,2020,1,3310,SISU,Física,0,Evadido
4858,36,2020,19,3310,Vestibular,Física,0,Evadido
4859,18,2021,1,3600,SISU,Engenharia Mecânica,0,Evadido
4862,22,2019,5,3660,Transferência externa,Engenharia de Produção,0,Matriculado
4863,22,2021,3,3600,Vestibular,Engenharia Mecânica,0,Matriculado
4864,21,2020,3,3600,Vestibular,Engenharia Mecânica,0,Evadido
4866,23,2022,5,3600,SISU,Engenharia Mecânica,0,Matriculado
4867,20,2018,2,3660,Vestibular,Engenharia de Produção,0,Evadido
4868,19,2021,2,3600,Vestibular,Engenharia Mecânica,0,Evadido
4869,32,2018,14,3600,Transferência externa,Engenharia Mecânica,0,Matriculado
4871,19,2018,1,3660,Vestibular,Engenharia de Produção,2022,Formado
4872,22,2019,5,3660,Vestibular,Engenharia de Produção,0,Evadido
4873,20,2018,2,2850,SISU,Física,0,Evadido
4874,19,2022,1,3660,SISU,Engenharia de Produção,0,Matriculado
4875,22,2018,5,3660,SISU,Engenharia de Produção,0,Matriculado
4876,19,2019,1,2850,SISU,Física,0,Matriculado
4878,21,2019,3,3600,Vestibular,Engenharia Mecânica,0,Evadido
4879,46,2022,26,3600,Vestibular,Engenharia Mecânica,0,Matriculado
4880,20,2018,1,3600,SISU,Engenharia Mecânica,0,Matriculado
4883,22,2020,3,3600,Vestibular,Engenharia Mecânica,0,Evadido
4885,37,2021,18,4073,Vestibular,Letras,0,Evadido
4887,22,2020,3,4073,Vestibular,Letras,0,Evadido
4890,37,2022,19,3310,Vestibular,Física,0,Evadido
4891,19,2022,1,4073,SISU,Letras,0,Matriculado
